TSS_position,TSS_strand,TSS_reads,sigma_binding,found_motif, binding+motif,TU_ID,first_gene,genes
980263,+,263,DS,DSNHFE,DS,TU_Ecoli-1058,ycbB,ycbB
982155,+,15,DS,NE,,TU_Ecoli-1059,ycbK,ycbK;ycbL
982246,+,367,DS,DSE,DS,TU_Ecoli-1060,ycbK,ycbK;ycbL
982300,+,6,DS,DSFE,DS,TU_Ecoli-1061,ycbL,ycbL
982306,+,57,DS,DSNFE,DS,TU_Ecoli-1062,ycbL,ycbL
982319,+,13,DS,DSNHFE,DS,TU_Ecoli-1063,ycbL,ycbL
982485,+,57,DS,N,,TU_Ecoli-1064,ycbL,ycbL
984967,-,524,D,DSNHFE,D,TU_Ecoli-1065,aspC,aspC
986315,-,36,DSH,DNF,D,TU_Ecoli-1066,ompF,ompF
986864,-,9,DSH,DNHFE,DH,TU_Ecoli-1067,ompF,ompF
986898,-,8,DSH,SNHE,SH,TU_Ecoli-1068,ompF,ompF
988217,-,86,D,DSNHFE,D,TU_Ecoli-1069,asnS,asnS
988223,-,88,D,SNH,,TU_Ecoli-1070,asnS,asnS
988266,-,837,D,DSNHF,D,TU_Ecoli-1071,asnS,asnS
989628,+,7,DS,DSF,DS,TU_Ecoli-1072,pepN,pepN
989637,-,400,DS,DSNH,DS,TU_Ecoli-1073,pncB,pncB
989725,-,8,DS,DSNHF,DS,TU_Ecoli-1074,pncB,pncB
989738,+,12,DS,DSNHF,DS,TU_Ecoli-1075,pepN,pepN
989814,+,7,DS,DSNHFE,DS,TU_Ecoli-1076,pepN,pepN
989845,+,74,DS,SNHFE,S,TU_Ecoli-1077,pepN,pepN
1003961,+,431,D,DSNHFE,D,TU_Ecoli-1078,pyrD,pyrD
1005076,+,50,DSH,DSN,DS,TU_Ecoli-1079,ycbW,ycbW
1006895,+,5,DSN,DSNHFE,DSN,TU_Ecoli-1080,rlmL,rlmL;uup
1006929,+,38,DSN,DSNFE,DSN,TU_Ecoli-1081,rlmL,rlmL;uup
1006936,+,5,DSN,DSNFE,DSN,TU_Ecoli-1082,rlmL,rlmL;uup
1010884,+,74,DS,DSFE,DS,TU_Ecoli-1083,pqiA,pqiA;pqiB;ymbA
1011218,+,5,DS,DSNHE,DS,TU_Ecoli-1084,pqiA,pqiA;pqiB;ymbA
1014873,+,1017,DSN,DSNH,DSN,TU_Ecoli-1085,rmf,rmf
1014933,+,64,DSN,DSHF,DS,TU_Ecoli-1086,rmf,rmf
1015720,-,24,D,DSNHE,D,TU_Ecoli-1087,fabA,fabA
1015802,-,6,D,SNF,,TU_Ecoli-1088,fabA,fabA
1015823,-,10,D,NHF,,TU_Ecoli-1089,fabA,fabA
1015842,-,40,D,HF,,TU_Ecoli-1090,fabA,fabA
1015879,-,7,D,DSNE,D,TU_Ecoli-1091,fabA,fabA
1017067,+,23,D,DNF,D,TU_Ecoli-1092,matP,matP
1017196,+,15,D,DSHE,D,TU_Ecoli-1093,matP,matP
1017547,-,216,D,DSNHFE,D,TU_Ecoli-1094,ycbZ,ycbZ
1019409,-,505,DSN,DSNHFE,DSN,TU_Ecoli-1095,ompA,ompA
1019686,+,5,DSN,NFE,N,TU_Ecoli-1096,sxy,sxy
1019700,+,5,DSN,DNFE,DN,TU_Ecoli-1097,sxy,sxy
1019721,+,16,DSN,DSNHF,DSN,TU_Ecoli-1098,sxy,sxy
1023425,-,32,D,DSHFE,D,TU_Ecoli-1099,yccS,yccS
1023602,-,24,D,DSHFE,D,TU_Ecoli-1100,yccF,yccF;yccS
1023666,+,14,D,DSNFE,D,TU_Ecoli-1101,helD,helD
1023691,+,5,D,DSHF,D,TU_Ecoli-1102,helD,helD
1026264,-,543,D,DSNHFE,D,TU_Ecoli-1103,mgsA,mgsA
1026519,+,8,D,DSNHF,D,TU_Ecoli-1104,yccU,yccU
1026971,+,37,DS,DSNHF,DS,TU_Ecoli-1105,yccU,yccU
1027026,-,14,DS,DSNF,DS,TU_Ecoli-1106,yccT,yccT
1027685,-,17,DSH,DSNHE,DSH,TU_Ecoli-1107,yccT,yccT
1028089,-,150,DSH,DSNFE,DS,TU_Ecoli-1108,hspQ,hspQ
1029267,-,8,D,SNFE,,TU_Ecoli-1109,rlmI,rlmI
1030326,-,63,DSH,FE,,TU_Ecoli-1110,yccK,yccK
1030365,-,103,DSH,DSNHE,DSH,TU_Ecoli-1111,yccK,yccK
1030551,-,544,DSH,DSHFE,DSH,TU_Ecoli-1112,yccK,yccK
1030567,-,51,DSH,DSHFE,DSH,TU_Ecoli-1113,yccK,yccK
1030649,-,726,DSH,DSFE,DS,TU_Ecoli-1114,yccA,yccA
1030669,-,687,DSH,DSNHF,DSH,TU_Ecoli-1115,yccA,yccA
1030888,-,1923,DSH,NF,,TU_Ecoli-1116,yccA,yccA
1030896,-,787,DSH,NHF,H,TU_Ecoli-1117,yccA,yccA
1036930,+,11,DSN,DSNHF,DSN,TU_Ecoli-1118,appC,appC;appB;yccB;appA
1050528,+,27,D,DSNFE,D,TU_Ecoli-1119,cspG,cspG
1051020,+,125,H,DSNE,,TU_Ecoli-1120,ymcE,ymcE
1051218,+,649,H,DSNHFE,H,TU_Ecoli-1121,gnsA,gnsA
1055404,-,9,D,DSNHF,D,TU_Ecoli-1122,torS,torS
1055446,-,163,D,DSF,D,TU_Ecoli-1123,torS,torS
1057207,-,24,D,DNHF,D,TU_Ecoli-1124,torR,torR
1062731,-,44,DSNH,DSHFE,DSH,TU_Ecoli-1125,cbpM,cbpM
1062775,-,5,DSNH,DSNH,DSNH,TU_Ecoli-1126,cbpM,cbpM
1063258,-,27,DSNH,DSNHE,DSNH,TU_Ecoli-1127,cbpA,cbpA;cbpM
1064782,+,17,DS,DSNHE,DS,TU_Ecoli-1128,agp,agp
1066704,-,173,DSN,DSHFE,DS,TU_Ecoli-1129,yccJ,yccJ
1066854,-,356,DSN,NE,N,TU_Ecoli-1130,yccJ,yccJ
1066889,-,69,DSN,DSNHE,DSN,TU_Ecoli-1131,yccJ,yccJ
1066897,-,87,DSN,DSNH,DSN,TU_Ecoli-1132,yccJ,yccJ
1066953,-,169,DSN,NHFE,N,TU_Ecoli-1133,wrbA,wrbA;yccJ
1066981,-,216,DSN,DSFE,DS,TU_Ecoli-1134,wrbA,wrbA;yccJ
1073121,+,5,DNE,DNH,DN,TU_Ecoli-1135,rutR,rutR
1073251,-,530,DNE,DNH,DN,TU_Ecoli-1136,rutA,rutA;rutB;rutC;rutD;rutE;rutF;rutG
1073443,+,15,DNE,DSN,DN,TU_Ecoli-1137,rutR,rutR
1078145,-,389,DSF,DSNHFE,DSF,TU_Ecoli-1138,putA,putA
1078434,+,6,DSF,DNHF,DF,TU_Ecoli-1139,putP,putP
1080520,+,65,D,DSNHF,D,TU_Ecoli-1140,efeU_1,efeU_1;efeU_2;efeO;efeB
1084166,+,1445,DS,DSNFE,DS,TU_Ecoli-1141,phoH,phoH
1091745,-,13,DSN,DSNHE,DSN,TU_Ecoli-1142,pgaA,pgaA;pgaB;pgaC;pgaD
1094770,-,17,D,DNFE,D,TU_Ecoli-1143,insEF-4,insEF-4
1094850,-,54,D,DNFE,D,TU_Ecoli-1144,insEF-4,insEF-4
1096984,+,7,D,DSNFE,D,TU_Ecoli-1145,ghrA,ghrA;ycdX;ycdY
1097049,+,45,D,DSNHF,D,TU_Ecoli-1146,ghrA,ghrA;ycdX;ycdY
1097868,+,7,DS,H,,TU_Ecoli-1147,ycdX,ycdX;ycdY
1097908,+,6,DS,DSNHFE,DS,TU_Ecoli-1148,ycdX,ycdX;ycdY
1098091,+,7,DS,DSNFE,DS,TU_Ecoli-1149,ycdX,ycdX;ycdY
1098209,+,8,DS,SNH,S,TU_Ecoli-1150,ycdY,ycdY
1098402,+,8,DS,NHFE,,TU_Ecoli-1151,ycdY,ycdY
1098947,+,5,DS,DSHE,DS,TU_Ecoli-1152,ycdZ,ycdZ
1099044,+,10,DS,DNFE,D,TU_Ecoli-1153,ycdZ,ycdZ
1099519,+,18,DS,DSNHE,DS,TU_Ecoli-1154,ycdZ,ycdZ
1102088,-,5,DS,NHF,,TU_Ecoli-1155,csgE,csgE;csgF;csgG
1102820,-,8,DS,DSNHFE,DS,TU_Ecoli-1156,csgD,csgD;csgE;csgF;csgG
1103907,+,289,D,DFE,D,TU_Ecoli-1157,csgC,csgC;ymdA
1103986,+,122,D,DSHF,D,TU_Ecoli-1158,csgC,csgC;ymdA
1105020,+,157,D,DSF,D,TU_Ecoli-1159,ymdB,ymdB;ymdC
1105515,+,84,D,DSNFE,D,TU_Ecoli-1160,ymdC,ymdC
1105542,+,10,D,DSNF,D,TU_Ecoli-1161,ymdC,ymdC
1108178,+,9,DSE,DSNHFE,DSE,TU_Ecoli-1162,mdoG,mdoG;mdoH
1108481,-,5,DSE,DSNHE,DSE,TU_Ecoli-1163,mdoC,mdoC
1114767,-,88,DS,DSHF,DS,TU_Ecoli-1164,mdtG,mdtG
1115828,-,24,D,DSNHF,D,TU_Ecoli-1165,lpxL,lpxL
1115838,-,101,D,DSF,D,TU_Ecoli-1166,lpxL,lpxL
1115994,+,63,D,DSNHFE,D,TU_Ecoli-1167,yceA,yceA
1116004,+,9,D,DSNHF,D,TU_Ecoli-1168,yceA,yceA
1118295,-,21,D,DSNHF,D,TU_Ecoli-1169,yceJ,yceJ;yceI
1119950,-,184,DSNH,DSNHFE,DSNH,TU_Ecoli-1170,solA,solA
1119959,-,297,DSNH,DSNHF,DSNH,TU_Ecoli-1171,solA,solA
1120066,-,102,DSNH,NHE,NH,TU_Ecoli-1172,solA,solA
1120122,-,89,DSNH,DHE,DH,TU_Ecoli-1173,solA,solA
1120243,-,1240,DSNH,DSNHE,DSNH,TU_Ecoli-1174,bssS,bssS
1120252,-,371,DSNH,DSNHE,DSNH,TU_Ecoli-1175,bssS,bssS
1120748,-,13,DSNH,SNHFE,SNH,TU_Ecoli-1176,dinI,dinI
1121093,-,7,D,DSNHF,D,TU_Ecoli-1177,dinI,dinI
1121206,-,7,D,SH,,TU_Ecoli-1178,dinI,dinI
1121240,-,15,D,FE,,TU_Ecoli-1179,dinI,dinI
1121252,-,8,D,FE,,TU_Ecoli-1180,dinI,dinI
1121265,-,14,D,DHF,D,TU_Ecoli-1181,dinI,dinI
1121866,-,411,D,DSHE,D,TU_Ecoli-1182,pyrC,pyrC
1122355,-,20,D,DSNHFE,D,TU_Ecoli-1183,pyrC,pyrC
1122520,-,76,D,DNHF,D,TU_Ecoli-1184,yceB,yceB
1122560,-,7,D,HF,,TU_Ecoli-1185,yceB,yceB
1123079,-,18,S,DSHFE,S,TU_Ecoli-1186,yceB,yceB
1123304,-,2374,S,DSHE,S,TU_Ecoli-1187,grxB,grxB;yceB
1124577,-,67,DSN,DSNHF,DSN,TU_Ecoli-1188,mdtH,mdtH
1124745,+,46,DSN,DSNE,DSN,TU_Ecoli-1189,rimJ,rimJ;yceH;yceM;murJ
1124761,+,9,DSN,DSNH,DSN,TU_Ecoli-1190,rimJ,rimJ;yceH;yceM;murJ
1124795,+,19,DSN,DSN,DSN,TU_Ecoli-1191,yceH,yceH;yceM;murJ
1124875,-,9,DSN,DNHF,DN,TU_Ecoli-1192,mdtH,mdtH
1126662,+,7,D,NE,,TU_Ecoli-1193,murJ,murJ
1126909,+,48,D,SNF,,TU_Ecoli-1194,murJ,murJ
1127006,+,35,D,DSNHE,D,TU_Ecoli-1195,murJ,murJ
1129417,-,21,DF,DSNHE,D,TU_Ecoli-1196,flgM,flgM;flgN
1143673,-,9,DS,HF,,TU_Ecoli-1197,rne,rne
1143738,-,6,DS,SHF,S,TU_Ecoli-1198,rne,rne
1143750,-,5,DS,DSNFE,DS,TU_Ecoli-1199,rne,rne
1143902,-,8,DS,DSHE,DS,TU_Ecoli-1200,rne,rne
1143940,-,27,DS,DNHF,D,TU_Ecoli-1201,rne,rne
1143951,-,28,DS,DNF,D,TU_Ecoli-1202,rne,rne
1143985,-,29,DS,DNFE,D,TU_Ecoli-1203,rne,rne
1144163,+,67,DS,DSNE,DS,TU_Ecoli-1204,rluC,rluC
1145632,+,5,DSN,SHFE,S,TU_Ecoli-1205,psrD,psrD
1145848,-,48,DSN,DSNE,DSN,TU_Ecoli-1206,yceF,yceF
1145872,+,564,DSN,DSHFE,DS,TU_Ecoli-1207,yceD,yceD;rpmF
1146015,+,26,DSN,DSHFE,DS,TU_Ecoli-1208,yceD,yceD;rpmF
1146040,+,20,DSN,DSNH,DSN,TU_Ecoli-1209,rpmF,rpmF;plsX;fabH;fabD;fabG
1146096,+,36,DSN,SH,S,TU_Ecoli-1210,rpmF,rpmF;plsX;fabH;fabD;fabG
1146143,+,56,DSN,NHFE,N,TU_Ecoli-1211,rpmF,rpmF;plsX;fabH;fabD;fabG
1146176,+,9,DSN,DSNH,DSN,TU_Ecoli-1212,rpmF,rpmF;plsX;fabH;fabD;fabG
1150276,+,198,DS,DSH,DS,TU_Ecoli-1213,acpP,acpP;fabF
1150576,+,131,DS,NFE,,TU_Ecoli-1214,acpP,acpP;fabF
1150799,+,30,DS,DSNHFE,DS,TU_Ecoli-1215,acpP,acpP;fabF
1150896,+,25,DS,FE,,TU_Ecoli-1216,fabF,fabF
1150932,+,130,DS,SNHFE,S,TU_Ecoli-1217,fabF,fabF
1150956,+,278,DS,DNF,D,TU_Ecoli-1218,fabF,fabF
1150971,+,117,DS,DNHF,D,TU_Ecoli-1219,fabF,fabF
1150994,+,15,DS,NFE,,TU_Ecoli-1220,fabF,fabF
1151000,+,895,DS,DNFE,D,TU_Ecoli-1221,fabF,fabF
1153163,+,5,D,DSNHFE,D,TU_Ecoli-1222,yceG,yceG;tmk;holB;ycfH
1154111,+,7,D,DNHFE,D,TU_Ecoli-1223,tmk,tmk;holB;ycfH
1156518,+,28,DS,DSN,DS,TU_Ecoli-1224,ptsG,ptsG
1156534,+,14,DS,H,,TU_Ecoli-1225,ptsG,ptsG
1156567,+,16,DS,DHE,D,TU_Ecoli-1226,ptsG,ptsG
1156583,+,19,DS,DNH,D,TU_Ecoli-1227,ptsG,ptsG
1156738,+,14,DS,NF,,TU_Ecoli-1228,ptsG,ptsG
1156991,+,256,DS,DSNHE,DS,TU_Ecoli-1229,ptsG,ptsG
1156997,+,45,DS,DSNHE,DS,TU_Ecoli-1230,ptsG,ptsG
1161048,+,50,DS,DSNHFE,DS,TU_Ecoli-1231,hinT,hinT;ycfL;ycfM;thiK;nagZ;ycfP
1161055,+,37,DS,DSHFE,DS,TU_Ecoli-1232,hinT,hinT;ycfL;ycfM;thiK;nagZ;ycfP
1161078,+,58,DS,DF,D,TU_Ecoli-1233,hinT,hinT;ycfL;ycfM;thiK;nagZ;ycfP
1161249,+,17,DS,DSFE,DS,TU_Ecoli-1234,ycfL,ycfL;ycfM;thiK;nagZ;ycfP
1164167,+,9,DS,DSNHF,DS,TU_Ecoli-1235,ycfP,ycfP
1164239,+,1736,DS,DSNF,DS,TU_Ecoli-1236,ycfP,ycfP
1164629,+,18,DSN,NHFE,N,TU_Ecoli-1237,ndh,ndh
1164666,+,20,DSN,HFE,,TU_Ecoli-1238,ndh,ndh
1164701,+,7,DN,SF,,TU_Ecoli-1239,ndh,ndh
1164733,+,11,DN,NE,N,TU_Ecoli-1240,ndh,ndh
1164762,+,6,DN,SNF,N,TU_Ecoli-1241,ndh,ndh
1164782,+,10,DN,DNHF,DN,TU_Ecoli-1242,ndh,ndh
1164803,+,6,DN,DHE,D,TU_Ecoli-1243,ndh,ndh
1164819,+,27,DN,SE,,TU_Ecoli-1244,ndh,ndh
1168085,-,7,DS,DSNHF,DS,TU_Ecoli-1245,ycfQ,ycfQ
1168242,+,505,DS,DSHFE,DS,TU_Ecoli-1246,bhsA,bhsA
1173201,-,108,DH,DSHE,DH,TU_Ecoli-1247,mfd,mfd
1173215,-,259,DH,DSHFE,DH,TU_Ecoli-1248,mfd,mfd
1173251,-,533,DH,DSNHFE,DH,TU_Ecoli-1249,mfd,mfd
1174600,-,6,D,H,,TU_Ecoli-1250,ycfT,ycfT
1174627,+,32,D,DSNH,D,TU_Ecoli-1251,lolC,lolC;lolD;lolE
1177233,+,169,DS,DSNHFE,DS,TU_Ecoli-1252,nagK,nagK;cobB
1177302,+,33,DS,DSHF,DS,TU_Ecoli-1253,nagK,nagK;cobB
1177461,+,15,DS,HFE,,TU_Ecoli-1254,nagK,nagK;cobB
1177511,+,20,DS,DSNHFE,DS,TU_Ecoli-1255,nagK,nagK;cobB
1182069,-,18,D,DNHE,D,TU_Ecoli-1256,potD,potD
1182136,-,14,D,DNHF,D,TU_Ecoli-1257,potD,potD
1182188,-,11,D,DSNHF,D,TU_Ecoli-1258,potD,potD
1182259,-,232,D,DSN,D,TU_Ecoli-1259,potD,potD
1184884,-,66,DS,DSNHF,DS,TU_Ecoli-1260,potA,potA;potB;potC;potD
1185046,+,13,DS,DSNHFE,DS,TU_Ecoli-1261,pepT,pepT
1187488,-,1897,DS,DSF,DS,TU_Ecoli-1262,ycfD,ycfD
1189191,-,13,DSH,DSFE,DS,TU_Ecoli-1263,phoQ,phoQ
1189358,-,15,DSH,DNHE,DH,TU_Ecoli-1264,phoQ,phoQ
1189479,-,7,DSH,HFE,H,TU_Ecoli-1265,phoQ,phoQ
1189512,-,9,DSH,DNHFE,DH,TU_Ecoli-1266,phoQ,phoQ
1189519,-,10,DSH,DNHF,DH,TU_Ecoli-1267,phoQ,phoQ
1189534,-,28,DSH,DSNHFE,DSH,TU_Ecoli-1268,phoQ,phoQ
1189541,-,38,DSH,DSNHFE,DSH,TU_Ecoli-1269,phoQ,phoQ
1189547,-,16,DSH,DSNHF,DSH,TU_Ecoli-1270,phoQ,phoQ
1189641,-,7,DSH,NF,,TU_Ecoli-1271,phoQ,phoQ
1189670,-,92,DSH,DE,D,TU_Ecoli-1272,phoP,phoP;phoQ
1189693,-,20,DSH,DSHFE,DSH,TU_Ecoli-1273,phoP,phoP;phoQ
1189706,-,7,DSH,DSNHFE,DSH,TU_Ecoli-1274,phoP,phoP;phoQ
1193024,-,365,D,DN,D,TU_Ecoli-1275,mnmA,mnmA;hflD;purB
1193777,-,16,DS,DSNHFE,DS,TU_Ecoli-1276,nudJ,nudJ
1193849,-,9,DS,SNFE,S,TU_Ecoli-1277,nudJ,nudJ
1194166,-,21,DS,DSNHF,DS,TU_Ecoli-1278,nudJ,nudJ
1194231,+,22,DS,DSNF,DS,TU_Ecoli-1279,icd,icd
1194259,+,34,DS,DSNHFE,DS,TU_Ecoli-1280,icd,icd
1194275,+,7,DS,DSNFE,DS,TU_Ecoli-1281,icd,icd
1194306,+,26,DS,NHFE,,TU_Ecoli-1282,icd,icd
1194328,+,30,DS,NE,,TU_Ecoli-1283,icd,icd
1194345,-,32,DS,DSHFE,DS,TU_Ecoli-1284,rluE,rluE;nudJ
1197479,-,91,DSN,DSHFE,DS,TU_Ecoli-1285,ymfE,ymfE
1197883,+,29,DSN,DSE,DS,TU_Ecoli-1286,lit,lit
1197892,+,6,DSN,DSNHFE,DSN,TU_Ecoli-1287,lit,lit
1197893,+,6,DSN,DSNHFE,DSN,TU_Ecoli-1288,lit,lit
1200492,+,139,D,SNHFE,,TU_Ecoli-1289,ymfI,ymfI
1200580,-,6,D,,,TU_Ecoli-1290,xisE,xisE;intE
1200606,-,113,D,DE,D,TU_Ecoli-1291,ymfH,ymfH
1200691,+,14,D,DSN,D,TU_Ecoli-1292,ymfI,ymfI
1200714,-,50,D,DSHE,D,TU_Ecoli-1293,ymfH,ymfH
1201972,+,13,DS,DSNH,DS,TU_Ecoli-1294,ymfT,ymfT;ymfL;ymfM;ymfN;ymfR;ymfO;ymfP;ymfQ
1202007,-,7,DS,DSF,DS,TU_Ecoli-1295,ymfJ,ymfJ
1202156,-,14,DS,DSHFE,DS,TU_Ecoli-1296,ymfK,ymfK;ymfJ
1202433,-,144,DS,DSNHFE,DS,TU_Ecoli-1297,ymfK,ymfK;ymfJ
1203028,+,7,DN,N,N,TU_Ecoli-1298,ymfM,ymfM;ymfN;ymfR;ymfO;ymfP;ymfQ
1212928,-,65,DS,DNHE,D,TU_Ecoli-1299,ycgX,ycgX
1213311,-,5,DS,DSN,DS,TU_Ecoli-1300,ycgE,ycgE
1213330,-,9,DS,DSNHFE,DS,TU_Ecoli-1301,ycgE,ycgE
1213336,-,8,DS,DSNHFE,DS,TU_Ecoli-1302,ycgE,ycgE
1214529,+,11,DS,DSNHF,DS,TU_Ecoli-1303,ycgZ,ycgZ;ymgA;ariR;ymgC
1214728,-,108,DS,DSHE,DS,TU_Ecoli-1304,ycgF,ycgF
1215001,+,18,DS,DSHE,DS,TU_Ecoli-1305,ycgZ,ycgZ;ymgA;ariR;ymgC
1222181,-,8,DSH,SNF,S,TU_Ecoli-1306,ymgG,ymgG;ymgD
1222199,-,17,DSH,SHFE,SH,TU_Ecoli-1307,ymgG,ymgG;ymgD
1222320,-,20,DSH,DSHE,DSH,TU_Ecoli-1308,ymgG,ymgG;ymgD
1222553,-,9,DSH,DSHFE,DSH,TU_Ecoli-1309,ymgI,ymgI;ymgG;ymgD
1222666,+,10,DSH,DSNF,DS,TU_Ecoli-1310,ymgH,ymgH
1225332,+,35,DS,DSNHF,DS,TU_Ecoli-1311,ycgJ,ycgJ
1225362,-,86,DS,DSHFE,DS,TU_Ecoli-1312,minC,minC;minD;minE
1225387,+,17,DS,DSHF,DS,TU_Ecoli-1313,ycgJ,ycgJ
1225704,+,152,DS,DSHFE,DS,TU_Ecoli-1314,ycgJ,ycgJ
1225778,-,22,DS,DSHFE,DS,TU_Ecoli-1315,minC,minC;minD;minE
1225805,-,200,DS,DSHE,DS,TU_Ecoli-1316,minC,minC;minD;minE
1226557,+,7,D,DSNHE,D,TU_Ecoli-1317,ycgL,ycgL;ycgM
1226729,-,509,D,DSNHFE,D,TU_Ecoli-1318,ycgK,ycgK
1227003,+,6,D,DSNFE,D,TU_Ecoli-1319,ycgM,ycgM
1227021,+,5,D,DNHFE,D,TU_Ecoli-1320,ycgM,ycgM
1228020,+,1120,DS,DSNFE,DS,TU_Ecoli-1321,ycgN,ycgN
1228032,+,106,DS,DSNHFE,DS,TU_Ecoli-1322,ycgN,ycgN
1232279,-,60,D,DSN,D,TU_Ecoli-1323,dsbB,dsbB
1234128,+,32,D,DSNH,D,TU_Ecoli-1324,fadR,fadR
1236325,+,5,DS,SNHE,S,TU_Ecoli-1325,dadA,dadA;dadX
1236369,+,7,DS,DN,D,TU_Ecoli-1326,dadA,dadA;dadX
1236457,+,14,DS,DSN,DS,TU_Ecoli-1327,dadA,dadA;dadX
1236508,-,451,DS,DSNE,DS,TU_Ecoli-1328,ycgB,ycgB
1236770,+,9,DS,DSNFE,DS,TU_Ecoli-1329,dadA,dadA;dadX
1236781,+,12,DS,DSNHE,DS,TU_Ecoli-1330,dadA,dadA;dadX
1241325,-,85,DSF,DSNHF,DSF,TU_Ecoli-1331,cvrA,cvrA
1241333,-,5,DSF,DSHF,DSF,TU_Ecoli-1332,cvrA,cvrA
1241738,+,14,DSF,DSHFE,DSF,TU_Ecoli-1333,emtA,emtA
1242323,-,8,DS,DSHFE,DS,TU_Ecoli-1334,ldcA,ldcA;cvrA
1242332,-,9,DS,DSHFE,DS,TU_Ecoli-1335,ldcA,ldcA;cvrA
1242351,+,27,DS,DNHFE,D,TU_Ecoli-1336,emtA,emtA
1242383,-,16,DS,DSNHE,DS,TU_Ecoli-1337,ldcA,ldcA;cvrA
1242399,+,6,DS,SNFE,S,TU_Ecoli-1338,emtA,emtA
1243901,+,1385,DSF,DSHFE,DSF,TU_Ecoli-1339,ymgE,ymgE
1243950,-,51,DSF,DSNF,DSF,TU_Ecoli-1340,ycgR,ycgR
1243998,+,10,DSF,NHF,F,TU_Ecoli-1341,ycgY,ycgY
1244057,-,5,DSF,NF,F,TU_Ecoli-1342,ycgR,ycgR
1247221,-,167,DS,DSNHF,DS,TU_Ecoli-1343,treA,treA
1250073,+,25,DSNHF,DSNHFE,DSNHF,TU_Ecoli-1344,dhaR,dhaR
1250130,-,1090,DSNHF,DSNHFE,DSNHF,TU_Ecoli-1345,dhaK,dhaK;dhaL;dhaM
1250248,+,10,DSNHF,DSN,DSN,TU_Ecoli-1346,dhaR,dhaR
1250379,-,6,DSNHF,DSNHFE,DSNHF,TU_Ecoli-1347,dhaK,dhaK;dhaL;dhaM
1255180,-,14,DSN,DSFE,DS,TU_Ecoli-1348,ycgV,ycgV
1255648,-,16,DSN,DSHFE,DS,TU_Ecoli-1349,ycgV,ycgV
1257583,-,20,DSH,DSNH,DSH,TU_Ecoli-1350,ychF,ychF
1257961,+,14,DSH,DSE,DS,TU_Ecoli-1351,ychH,ychH
1257999,+,1057,DSH,NFE,,TU_Ecoli-1352,ychH,ychH
1258110,-,331,DSH,DSNE,DS,TU_Ecoli-1353,pth,pth
1260205,-,42,D,DSHFE,D,TU_Ecoli-1354,ychM,ychM
1260272,-,39,D,SNE,,TU_Ecoli-1355,ychM,ychM
1260396,-,35,D,DSNFE,D,TU_Ecoli-1356,ychM,ychM
1260423,-,536,D,DSFE,D,TU_Ecoli-1357,ychM,ychM
1261176,-,41,D,DNH,D,TU_Ecoli-1358,prs,prs
1261198,-,7,D,SNHF,,TU_Ecoli-1359,prs,prs
1261208,-,38,D,SNHF,,TU_Ecoli-1360,prs,prs
1261215,-,39,D,NF,,TU_Ecoli-1361,prs,prs
1261399,-,119,D,DNF,D,TU_Ecoli-1362,prs,prs
1261446,-,5,D,NF,,TU_Ecoli-1363,prs,prs
1261461,-,11,D,SNE,,TU_Ecoli-1364,prs,prs
1261481,-,53,D,DSNHF,D,TU_Ecoli-1365,prs,prs
1262699,-,7,DS,DH,D,TU_Ecoli-1366,ispE,ispE
1262720,-,12,DS,HFE,,TU_Ecoli-1367,ispE,ispE
1262758,-,7243,DS,DSF,DS,TU_Ecoli-1368,lolB,lolB;ispE
1262898,+,93,DS,DSNHE,DS,TU_Ecoli-1369,hemA,hemA;prfA;prmC;ychQ
1266405,+,479,D,DSNHE,D,TU_Ecoli-1370,ychA,ychA;kdsA
1267264,+,20,D,DSNFE,D,TU_Ecoli-1371,kdsA,kdsA
1268546,+,36,DS,DSNHF,DS,TU_Ecoli-1372,rdlA,rdlA
1268724,-,11,DS,DSNH,DS,TU_Ecoli-1373,ldrA,ldrA
1269259,-,8,DS,DSNHE,DS,TU_Ecoli-1374,ldrB,ldrB
1269793,-,10,DS,DSNHE,DS,TU_Ecoli-1375,ldrC,ldrC
1270932,+,6,DSN,DSHE,DS,TU_Ecoli-1376,chaB,chaB
1271318,+,47,DSN,DSNHFE,DSN,TU_Ecoli-1377,chaB,chaB
1271335,+,5,DSN,DSNFE,DSN,TU_Ecoli-1378,chaB,chaB
1271337,+,5,DSN,DSNE,DSN,TU_Ecoli-1379,chaB,chaB
1271360,+,149,DSN,DSNHF,DSN,TU_Ecoli-1380,chaC,chaC
1271595,+,339,DSN,DNE,DN,TU_Ecoli-1381,chaC,chaC
1271647,+,34,DSN,DSNHE,DSN,TU_Ecoli-1382,chaC,chaC
1271659,+,16,DSN,DSNHF,DSN,TU_Ecoli-1383,chaC,chaC
1272482,+,16,DS,DSNHFE,DS,TU_Ecoli-1384,ychO,ychO
1272972,+,6,DS,DSNHFE,DS,TU_Ecoli-1385,ychO,ychO
1272982,+,20,DS,DSNHFE,DS,TU_Ecoli-1386,ychO,ychO
1273109,-,81,DS,DSNFE,DS,TU_Ecoli-1387,ychN,ychN
1276857,-,7,DS,DSNHE,DS,TU_Ecoli-1388,narX,narX;narL
1277155,+,9,DS,DSHFE,DS,TU_Ecoli-1389,narK,narK
1277374,-,6,DS,DSNFE,DS,TU_Ecoli-1390,narX,narX;narL
